Year,Award,Winning,Name,Film
1955,Art Direction (Black and White),nominated,Marty ,"Art Direction: Edward S. Haworth, Walter Simonds; Set Decoration: Robert Priestley"
1955,Art Direction (Black and White),won,The Rose Tattoo ,"Art Direction: Hal Pereira, Tambi Larsen; Set Decoration: Sam Comer, Arthur Krams"
1955,Art Direction (Color),nominated,Daddy Long Legs ,"Art Direction: Lyle Wheeler, John DeCuir; Set Decoration: Walter M. Scott, Paul S. Fox"
1955,Art Direction (Color),nominated,Guys and Dolls ,"Art Direction: Oliver Smith, Joseph C. Wright; Set Decoration: Howard Bristol"
1955,Art Direction (Color),nominated,Love Is a Many-Splendored Thing ,"Art Direction: Lyle Wheeler, George W. Davis; Set Decoration: Walter M. Scott, Jack Stubbs"
1955,Art Direction (Color),won,Picnic ,"Art Direction: William Flannery, Jo Mielziner; Set Decoration: Robert Priestley"
1955,Art Direction (Color),nominated,To Catch a Thief ,"Art Direction: Hal Pereira, Joseph McMillan Johnson; Set Decoration: Sam Comer, Arthur Krams"
1955,Cinematography (Black and White),nominated,Blackboard Jungle ,Russell Harlan
1955,Cinematography (Black and White),nominated,I'll Cry Tomorrow ,Arthur E. Arling
1955,Cinematography (Black and White),nominated,Marty ,Joseph LaShelle
1955,Cinematography (Black and White),nominated,Queen Bee ,Charles Lang
1955,Cinematography (Black and White),won,The Rose Tattoo ,James Wong Howe
1955,Cinematography (Color),nominated,Guys and Dolls ,Harry Stradling
1955,Cinematography (Color),nominated,Love Is a Many-Splendored Thing ,Leon Shamroy
1955,Cinematography (Color),nominated,A Man Called Peter ,Harold Lipstein
1955,Cinematography (Color),nominated,Oklahoma! ,Robert Surtees
1955,Cinematography (Color),won,To Catch a Thief ,Robert Burks
1955,Costume Design (Black and White),won,I'll Cry Tomorrow ,Helen Rose
1955,Costume Design (Black and White),nominated,The Pickwick Papers ,Beatrice Dawson
1955,Costume Design (Black and White),nominated,Queen Bee ,Jean Louis
1955,Costume Design (Black and White),nominated,The Rose Tattoo ,Edith Head
1955,Costume Design (Black and White),nominated,Ugetsu ,Tadaoto Kainoscho
1955,Costume Design (Color),nominated,Guys and Dolls ,Irene Sharaff
1955,Costume Design (Color),nominated,Interrupted Melody ,Helen Rose
1955,Costume Design (Color),won,Love Is a Many-Splendored Thing ,Charles LeMaire
1955,Costume Design (Color),nominated,To Catch a Thief ,Edith Head
1955,Costume Design (Color),nominated,The Virgin Queen ,"Charles LeMaire, Mary Wills"
1955,Directing,nominated,Bad Day at Black Rock ,John Sturges
1955,Directing,nominated,East of Eden ,Elia Kazan
1955,Directing,won,Marty ,Delbert Mann
1955,Directing,nominated,Picnic ,Joshua Logan
1955,Directing,nominated,Summertime ,David Lean
1955,Documentary (Feature),nominated,Heartbreak Ridge ,"Rene Risacher, Producer"
1955,Documentary (Feature),won,Helen Keller in Her Story ,"Nancy Hamilton, Producer"
1955,Documentary (Short Subject),nominated,The Battle of Gettysburg ,"Dore Schary, Producer"
1955,Documentary (Short Subject),nominated,The Face of Lincoln ,"Wilbur T. Blume, Producer"
1955,Documentary (Short Subject),won,Men against the Arctic ,"Walt Disney, Producer"
1955,Film Editing,nominated,Blackboard Jungle ,Ferris Webster
1955,Film Editing,nominated,The Bridges at Toko-Ri ,Alma Macrorie
1955,Film Editing,nominated,Oklahoma! ,"Gene Ruggiero, George Boemler"
1955,Film Editing,won,Picnic ,"Charles Nelson, William A. Lyon"
1955,Film Editing,nominated,The Rose Tattoo ,Warren Low
1955,Music (Music Score of a Dramatic or Comedy Picture),nominated,Battle Cry ,Max Steiner
1955,Music (Music Score of a Dramatic or Comedy Picture),won,Love Is a Many-Splendored Thing ,Alfred Newman
1955,Music (Music Score of a Dramatic or Comedy Picture),nominated,The Man with the Golden Arm ,Elmer Bernstein
1955,Music (Music Score of a Dramatic or Comedy Picture),nominated,Picnic ,George Duning
1955,Music (Music Score of a Dramatic or Comedy Picture),nominated,The Rose Tattoo ,Alex North
1955,Music (Scoring of a Musical Picture),nominated,Daddy Long Legs ,Alfred Newman
1955,Music (Scoring of a Musical Picture),nominated,Guys and Dolls ,"Jay Blackton, Cyril J. Mockridge"
1955,Music (Scoring of a Musical Picture),nominated,It's Always Fair Weather ,Andre Previn
1955,Music (Scoring of a Musical Picture),nominated,Love Me or Leave Me ,"Percy Faith, George Stoll"
1955,Music (Scoring of a Musical Picture),won,Oklahoma! ,"Robert Russell Bennett, Jay Blackton, Adolph Deutsch"
1955,Music (Song),nominated,"""I'll Never Stop Loving You"" from Love Me or Leave Me",Music by Nicholas Brodszky; Lyrics by Sammy Cahn
1955,Music (Song),won,"""Love Is A Many-Splendored Thing"" from Love Is a Many-Splendored Thing",Music by Sammy Fain; Lyrics by Paul Francis Webster
1955,Music (Song),nominated,"""Something's Gotta Give"" from Daddy Long Legs",Music and Lyrics by Johnny Mercer
1955,Music (Song),nominated,"""(Love Is) The Tender Trap"" from The Tender Trap",Music by James Van Heusen; Lyrics by Sammy Cahn
1955,Music (Song),nominated,"""Unchained Melody"" from Unchained",Music by Alex North; Lyrics by Hy Zaret
1955,Best Motion Picture,nominated,Love Is a Many-Splendored Thing ,"Buddy Adler, Producer"
1955,Best Motion Picture,won,Marty ,"Harold Hecht, Producer"
1955,Best Motion Picture,nominated,Mister Roberts ,"Leland Hayward, Producer"
1955,Best Motion Picture,nominated,Picnic ,"Fred Kohlmar, Producer"
1955,Best Motion Picture,nominated,The Rose Tattoo ,"Hal B. Wallis, Producer"
1955,Short Subject (Cartoon),nominated,Good Will to Men ,"Fred Quimby, William Hanna and Joseph Barbera, Producers"
1955,Short Subject (Cartoon),nominated,The Legend of Rock-a-bye Point ,"Walter Lantz, Producer"
1955,Short Subject (Cartoon),nominated,No Hunting ,"Walt Disney, Producer"
1955,Short Subject (Cartoon),won,Speedy Gonzales ,"Edward Selzer, Producer"
1955,Short Subject (One Reel),nominated,Gadgets Galore ,"Robert Youngson, Producer"
1955,Short Subject (One Reel),won,Survival City ,"Edmund Reek, Producer"
1955,Short Subject (One Reel),nominated,3rd Ave. El ,"Carson Davidson, Producer"
1955,Short Subject (One Reel),nominated,Three Kisses ,"Justin Herman, Producer"
1955,Short Subject (Two Reel),nominated,The Battle of Gettysburg ,"Dore Schary, Producer"
1955,Short Subject (Two Reel),won,The Face of Lincoln ,"Wilbur T. Blume, Producer"
1955,Short Subject (Two Reel),nominated,On the Twelfth Day... ,"George K. Arthur, Producer"
1955,Short Subject (Two Reel),nominated,Switzerland ,"Walt Disney, Producer"
1955,Short Subject (Two Reel),nominated,24-Hour Alert ,"Cedric Francis, Producer"
1955,Sound Recording,nominated,Love Is a Many-Splendored Thing ,"20th Century-Fox Studio Sound Department, Carl W. Faulkner, Sound Director"
1955,Sound Recording,nominated,Love Me or Leave Me ,"Metro-Goldwyn-Mayer Studio Sound Department, Wesley C. Miller, Sound Director"
1955,Sound Recording,nominated,Mister Roberts ,"Warner Brothers Studio Sound Department, William A. Mueller, Sound Director"
1955,Sound Recording,nominated,Not as a Stranger ,"Radio Corporation of America Sound Department, Watson Jones, Sound Director"
1955,Sound Recording,won,Oklahoma! ,"Todd-AO Sound Department, Fred Hynes, Sound Director"
1955,Special Effects,won,The Bridges at Toko-Ri ,Paramount Studio
1955,Special Effects,nominated,The Dam Busters ,"Associated British Picture Corporation, Ltd."
1955,Special Effects,nominated,The Rains of Ranchipur ,20th Century-Fox Studio
1955,Writing (Motion Picture Story),won,Love Me or Leave Me ,Daniel Fuchs
1955,Writing (Motion Picture Story),nominated,The Private War of Major Benson ,"Joe Connelly, Bob Mosher"
1955,Writing (Motion Picture Story),nominated,Rebel without a Cause ,Nicholas Ray
1955,Writing (Motion Picture Story),nominated,The Sheep Has Five Legs ,"Jean Marsan, Henry Troyat, Jacques Perret, Henri Verneuil, Raoul Ploquin"
1955,Writing (Motion Picture Story),nominated,Strategic Air Command ,"Beirne Lay, Jr."
1955,Writing (Screenplay),nominated,Bad Day at Black Rock ,Millard Kaufman
1955,Writing (Screenplay),nominated,Blackboard Jungle ,Richard Brooks
1955,Writing (Screenplay),nominated,East of Eden ,Paul Osborn
1955,Writing (Screenplay),nominated,Love Me or Leave Me ,"Daniel Fuchs, Isobel Lennart"
1955,Writing (Screenplay),won,Marty ,Paddy Chayefsky
1955,Writing (Story and Screenplay),nominated,The Court-Martial of Billy Mitchell ,"Milton Sperling, Emmet Lavery"
1955,Writing (Story and Screenplay),won,Interrupted Melody ,"William Ludwig, Sonya Levien"
1955,Writing (Story and Screenplay),nominated,It's Always Fair Weather ,"Betty Comden, Adolph Green"
1955,Writing (Story and Screenplay),nominated,Mr. Hulot's Holiday ,"Jacques Tati, Henri Marquet"
1955,Writing (Story and Screenplay),nominated,The Seven Little Foys ,"Melville Shavelson, Jack Rose"
1955,Honorary Foreign Language Film Award,won,"Samurai, The Legend of Musashi",
1956,Actor,won,Yul Brynner,The King and I
1956,Actor,nominated,James Dean,Giant
1956,Actor,nominated,Kirk Douglas,Lust for Life
1956,Actor,nominated,Rock Hudson,Giant
1956,Actor,nominated,Sir Laurence Olivier,Richard III
1956,Actor in a Supporting Role,nominated,Don Murray,Bus Stop
1956,Actor in a Supporting Role,nominated,Anthony Perkins,Friendly Persuasion
1956,Actor in a Supporting Role,won,Anthony Quinn,Lust for Life
1956,Actor in a Supporting Role,nominated,Mickey Rooney,The Bold and the Brave
1956,Actor in a Supporting Role,nominated,Robert Stack,Written on the Wind
1956,Actress,nominated,Carroll Baker,Baby Doll
1956,Actress,won,Ingrid Bergman,Anastasia
1956,Actress,nominated,Katharine Hepburn,The Rainmaker
1956,Actress,nominated,Nancy Kelly,The Bad Seed
1956,Actress,nominated,Deborah Kerr,The King and I
1956,Actress in a Supporting Role,nominated,Mildred Dunnock,Baby Doll
1956,Actress in a Supporting Role,nominated,Eileen Heckart,The Bad Seed
1956,Actress in a Supporting Role,nominated,Mercedes McCambridge,Giant
1956,Actress in a Supporting Role,nominated,Patty McCormack,The Bad Seed
1956,Actress in a Supporting Role,won,Dorothy Malone,Written on the Wind
1956,Art Direction (Black and White),nominated,The Magnificent Seven ,Takashi Matsuyama
1956,Art Direction (Black and White),nominated,The Proud and Profane ,"Art Direction: Hal Pereira, A. Earl Hedrick; Set Decoration: Samuel M. Comer, Frank R. McKelvy"
1956,Art Direction (Black and White),nominated,The Solid Gold Cadillac ,"Art Direction: Ross Bellah; Set Decoration: William R. Kiernan, Louis Diage"
1956,Art Direction (Black and White),won,Somebody Up There Likes Me ,"Art Direction: Cedric Gibbons, Malcolm F. Brown; Set Decoration: Edwin B. Willis, F. Keogh Gleason"
1956,Art Direction (Black and White),nominated,Teenage Rebel ,"Art Direction: Lyle R. Wheeler, Jack Martin Smith; Set Decoration: Walter M. Scott, Stuart A. Reiss"
1956,Art Direction (Color),nominated,Around the World in 80 Days ,"Art Direction: James W. Sullivan, Ken Adam; Set Decoration: Ross J. Dowd"
1956,Art Direction (Color),nominated,Giant ,Art Direction: Boris Leven; Set Decoration: Ralph S. Hurst
1956,Art Direction (Color),won,The King and I ,"Art Direction: Lyle R. Wheeler, John DeCuir; Set Decoration: Walter M. Scott, Paul S. Fox"
1956,Art Direction (Color),nominated,Lust for Life ,"Art Direction: Cedric Gibbons, Hans Peters, Preston Ames; Set Decoration: Edwin B. Willis, F. Keogh Gleason"
1956,Art Direction (Color),nominated,The Ten Commandments ,"Art Direction: Hal Pereira, Walter H. Tyler, Albert Nozaki; Set Decoration: Samuel M. Comer, Ray Moyer"
1956,Cinematography (Black and White),nominated,Baby Doll ,Boris Kaufman
1956,Cinematography (Black and White),nominated,The Bad Seed ,Hal Rosson
1956,Cinematography (Black and White),nominated,The Harder They Fall ,Burnett Guffey
1956,Cinematography (Black and White),won,Somebody Up There Likes Me ,Joseph Ruttenberg
1956,Cinematography (Black and White),nominated,Stagecoach to Fury ,Walter Strenge
1956,Cinematography (Color),won,Around the World in 80 Days ,Lionel Lindon
1956,Cinematography (Color),nominated,The Eddy Duchin Story ,Harry Stradling
1956,Cinematography (Color),nominated,The King and I ,Leon Shamroy
1956,Cinematography (Color),nominated,The Ten Commandments ,Loyal Griggs
1956,Cinematography (Color),nominated,War and Peace ,Jack Cardiff
1956,Costume Design (Black and White),nominated,The Magnificent Seven ,Kohei Ezaki
1956,Costume Design (Black and White),nominated,The Power and the Prize ,Helen Rose
1956,Costume Design (Black and White),nominated,The Proud and Profane ,Edith Head
1956,Costume Design (Black and White),won,The Solid Gold Cadillac ,Jean Louis
1956,Costume Design (Black and White),nominated,Teenage Rebel ,"Charles LeMaire, Mary Wills"
1956,Costume Design (Color),nominated,Around the World in 80 Days ,Miles White
1956,Costume Design (Color),nominated,Giant ,"Moss Mabry, Marjorie Best"
1956,Costume Design (Color),won,The King and I ,Irene Sharaff
1956,Costume Design (Color),nominated,The Ten Commandments ,"Edith Head, Ralph Jester, John Jensen, Dorothy Jeakins, Arnold Friberg"
1956,Costume Design (Color),nominated,War and Peace ,Marie De Matteis
1956,Directing,nominated,Around the World in 80 Days ,Michael Anderson
1956,Directing,nominated,Friendly Persuasion ,William Wyler
1956,Directing,won,Giant ,George Stevens
1956,Directing,nominated,The King and I ,Walter Lang
1956,Directing,nominated,War and Peace ,King Vidor
1956,Documentary (Feature),nominated,The Naked Eye ,"Louis Clyde Stoumen, Producer"
1956,Documentary (Feature),won,The Silent World ,"Jacques-Yves Cousteau, Producer"
1956,Documentary (Feature),nominated,Where Mountains Float ,The Government Film Committee of Denmark
1956,Documentary (Short Subject),nominated,A City Decides ,"Charles Guggenheim & Associates, Inc."
1956,Documentary (Short Subject),nominated,The Dark Wave ,"John Healy, Producer"
1956,Documentary (Short Subject),nominated,The House without a Name ,"Valentine Davies, Producer"
1956,Documentary (Short Subject),nominated,Man in Space ,"Ward Kimball, Producer"
1956,Documentary (Short Subject),won,The True Story of the Civil War ,"Louis Clyde Stoumen, Producer"
1956,Film Editing,won,Around the World in 80 Days ,"Gene Ruggiero, Paul Weatherwax"
1956,Film Editing,nominated,The Brave One ,Merrill G. White
1956,Film Editing,nominated,Giant ,"William Hornbeck, Philip W. Anderson, Fred Bohanan"
1956,Film Editing,nominated,Somebody Up There Likes Me ,Albert Akst
1956,Film Editing,nominated,The Ten Commandments ,Anne Bauchens
1956,Foreign Language Film,nominated,The Captain of Kopenick ,"Federal Republic of Germany - West; Gyula Trebitsch and Walter Koppel, Producers"
1956,Foreign Language Film,nominated,Gervaise ,"France; Annie Dorfmann, Producer"
1956,Foreign Language Film,nominated,Harp of Burma ,"Japan; Masayuki Takagi, Producer"
1956,Foreign Language Film,won,La Strada ,"Italy; Dino De Laurentiis and Carlo Ponti, Producers"
1956,Foreign Language Film,nominated,Qivitoq ,"Denmark; O. Dalsgaard-Olsen, Producer"
1956,Music (Music Score of a Dramatic or Comedy Picture),nominated,Anastasia ,Alfred Newman
1956,Music (Music Score of a Dramatic or Comedy Picture),won,Around the World in 80 Days ,Victor Young
1956,Music (Music Score of a Dramatic or Comedy Picture),nominated,Between Heaven and Hell ,Hugo Friedhofer
1956,Music (Music Score of a Dramatic or Comedy Picture),nominated,Giant ,Dimitri Tiomkin
1956,Music (Music Score of a Dramatic or Comedy Picture),nominated,The Rainmaker ,Alex North
1956,Music (Scoring of a Musical Picture),nominated,The Best Things in Life Are Free ,Lionel Newman
1956,Music (Scoring of a Musical Picture),nominated,The Eddy Duchin Story ,"Morris Stoloff, George Duning"
1956,Music (Scoring of a Musical Picture),nominated,High Society ,"Johnny Green, Saul Chaplin"
1956,Music (Scoring of a Musical Picture),won,The King and I ,"Alfred Newman, Ken Darby"
1956,Music (Scoring of a Musical Picture),nominated,Meet Me in Las Vegas ,"George Stoll, Johnny Green"
1956,Music (Song),nominated,"""Friendly Persuasion (Thee I Love)"" from Friendly Persuasion",Music by Dimitri Tiomkin; Lyrics by Paul Francis Webster
1956,Music (Song),nominated,"""Julie"" from Julie",Music by Leith Stevens; Lyrics by Tom Adair
1956,Music (Song),nominated,"""True Love"" from High Society",Music and Lyrics by Cole Porter
1956,Music (Song),won,"""Whatever Will Be, Will Be (Que Sera, Sera)"" from The Man Who Knew Too Much",Music and Lyrics by Jay Livingston and Ray Evans
1956,Music (Song),nominated,"""Written On The Wind"" from Written on the Wind",Music by Victor Young; Lyrics by Sammy Cahn
1956,Best Motion Picture,won,Around the World in 80 Days ,"Michael Todd, Producer"
1956,Best Motion Picture,nominated,Friendly Persuasion ,"William Wyler, Producer"
1956,Best Motion Picture,nominated,Giant ,"George Stevens and Henry Ginsberg, Producers"
1956,Best Motion Picture,nominated,The King and I ,"Charles Brackett, Producer"
